#r0[m]	z0[m]	uref[m/s]	f[Hz]	noise[Hz^-1/2]
5.0	1.0	5.0	6.60693	1.02558e-28
5.0	1.0	5.0	6.91831	7.77206e-29
5.0	1.0	10.0	1.0	4.43159e-20
5.0	1.0	10.0	1.04713	3.42198e-20
5.0	1.0	10.0	1.09648	2.63356e-20
5.0	1.0	10.0	1.14815	2.0201e-20
5.0	1.0	10.0	1.20226	1.54387e-20
5.0	1.0	10.0	1.25893	1.17554e-20
5.0	1.0	10.0	1.31826	8.91684e-21
5.0	1.0	10.0	1.38038	6.73619e-21
5.0	1.0	10.0	1.44544	5.06772e-21
5.0	1.0	10.0	1.51356	3.79574e-21
5.0	1.0	10.0	1.58489	2.82984e-21
5.0	1.0	10.0	1.65959	2.09977e-21
5.0	1.0	10.0	1.7378	1.55035e-21
5.0	1.0	10.0	1.8197	1.13872e-21
5.0	1.0	10.0	1.90546	8.31838e-22
5.0	1.0	10.0	1.99526	6.04234e-22
5.0	1.0	10.0	2.0893	4.36336e-22
5.0	1.0	10.0	2.18776	3.1314e-22
5.0	1.0	10.0	2.29087	2.23281e-22
5.0	1.0	10.0	2.39883	1.58143e-22
5.0	1.0	10.0	2.51189	1.11218e-22
5.0	1.0	10.0	2.63027	7.7648e-23
5.0	1.0	10.0	2.75423	5.37953e-23
5.0	1.0	10.0	2.88403	3.69726e-23
5.0	1.0	10.0	3.01995	2.51985e-23
5.0	1.0	10.0	3.16228	1.70234e-23
5.0	1.0	10.0	3.31131	1.13958e-23
5.0	1.0	10.0	3.46737	7.55603e-24
5.0	1.0	10.0	3.63078	4.96023e-24
5.0	1.0	10.0	3.80189	3.22218e-24
5.0	1.0	10.0	3.98107	2.07051e-24
5.0	1.0	10.0	4.16869	1.31523e-24
5.0	1.0	10.0	4.36516	8.25647e-25
5.0	1.0	10.0	4.57088	5.11839e-25
5.0	1.0	10.0	4.7863	3.1311e-25
5.0	1.0	10.0	5.01187	1.8896e-25
5.0	1.0	10.0	5.24807	1.12501e-25
5.0	1.0	10.0	5.49541	6.59687e-26
5.0	1.0	10.0	5.7544	3.81094e-26
5.0	1.0	10.0	6.0256	2.16741e-26
5.0	1.0	10.0	6.30957	1.2138e-26
5.0	1.0	10.0	6.60693	6.70109e-27
5.0	1.0	10.0	6.91831	3.6576e-27
5.0	1.0	10.0	7.24436	1.98892e-27
5.0	1.0	10.0	7.58578	1.09342e-27
5.0	1.0	10.0	7.94328	6.23656e-28
5.0	1.0	10.0	8.31764	3.80205e-28
5.0	1.0	10.0	8.70964	2.51163e-28
5.0	1.0	10.0	9.12011	1.77348e-28
5.0	1.0	10.0	9.54993	1.30317e-28
5.0	1.0	10.0	10.0	9.75672e-29
5.0	1.0	30.0	1.0	9.00763e-19
5.0	1.0	30.0	1.04373	7.46469e-19
5.0	1.0	30.0	1.08936	6.17968e-19
5.0	1.0	30.0	1.13699	5.11135e-19
5.0	1.0	30.0	1.18671	4.22247e-19
5.0	1.0	30.0	1.2386	3.48537e-19
5.0	1.0	30.0	1.29276	2.87352e-19
5.0	1.0	30.0	1.34928	2.36658e-19
5.0	1.0	30.0	1.40828	1.94688e-19
5.0	1.0	30.0	1.46986	1.59987e-19
