uref[m/s]	f[Hz]	Noise[Hz^-1/2]
29.13793103	1.25893	1.49912e-19
29.13793103	1.35936	1.02556e-19
29.13793103	1.4678	6.96901e-20
29.13793103	1.58489	4.70239e-20
29.13793103	1.71133	3.1496e-20
29.13793103	1.84785	2.09395e-20
29.13793103	1.99526	1.38112e-20
29.13793103	2.15443	9.0332e-21
29.13793103	2.32631	5.85754e-21
29.13793103	2.51189	3.76407e-21
29.13793103	2.71227	2.39515e-21
29.13793103	2.92864	1.5086e-21
29.13793103	3.16228	9.39778e-22
29.13793103	3.41455	5.78599e-22
29.13793103	3.68695	3.51839e-22
29.13793103	3.98107	2.11067e-22
29.13793103	4.29866	1.2481e-22
29.13793103	4.64159	7.26803e-23
29.13793103	5.01187	4.16228e-23
29.13793103	5.4117	2.34066e-23
29.13793103	5.84341	1.29227e-23
29.13793103	6.30957	6.98502e-24
29.13793103	6.81292	3.69258e-24
29.13793103	7.35642	1.90639e-24
29.13793103	7.94328	9.59478e-25
29.13793103	8.57696	4.69846e-25
29.13793103	9.26119	2.23454e-25
29.13793103	10.0	1.0311e-25
30.0	1.0	4.82326e-19
30.0	1.07978	3.37105e-19
30.0	1.16591	2.34185e-19
30.0	1.25893	1.61702e-19
30.0	1.35936	1.10932e-19
30.0	1.4678	7.56029e-20
30.0	1.58489	5.11676e-20
30.0	1.71133	3.43829e-20
30.0	1.84785	2.29339e-20
30.0	1.99526	1.51795e-20
30.0	2.15443	9.96633e-21
30.0	2.32631	6.48753e-21
30.0	2.51189	4.18629e-21
30.0	2.71227	2.67574e-21
30.0	2.92864	1.69346e-21
30.0	3.16228	1.06021e-21
30.0	3.41455	6.56335e-22
30.0	3.68695	4.0141e-22
30.0	3.98107	2.42337e-22
30.0	4.29866	1.44263e-22
30.0	4.64159	8.46132e-23
30.0	5.01187	4.88398e-23
30.0	5.4117	2.77045e-23
30.0	5.84341	1.54298e-23
