r0[m]	z0[m]	Noise[Hz^-1/2]
30.0	0.1	21.6667	1.38963e-23
30.0	0.1	22.5	1.55903e-23
30.0	0.1	23.3333	1.73743e-23
30.0	0.1	24.1667	1.92759e-23
30.0	0.1	25	2.12839e-23
30.0	0.1	25.8333	2.34355e-23
30.0	0.1	26.6667	2.57449e-23
30.0	0.1	27.5	2.8358e-23
30.0	0.1	28.3333	3.13087e-23
30.0	0.1	29.1667	3.47669e-23
30.0	0.1	30	3.89267e-23
40.0	0.1	5	5.62987e-26
40.0	0.1	5.83333	9.44991e-26
40.0	0.1	6.66667	1.50603e-25
40.0	0.1	7.5	2.33175e-25
40.0	0.1	8.33333	3.51334e-25
40.0	0.1	9.16667	5.10464e-25
40.0	0.1	10	7.15642e-25
40.0	0.1	10.8333	9.65394e-25
40.0	0.1	11.6667	1.27462e-24
40.0	0.1	12.5	1.63109e-24
40.0	0.1	13.3333	2.0538e-24
40.0	0.1	14.1667	2.53689e-24
40.0	0.1	15	3.0911e-24
40.0	0.1	15.8333	3.72129e-24
40.0	0.1	16.6667	4.4319e-24
40.0	0.1	17.5	5.22142e-24
40.0	0.1	18.3333	6.10166e-24
40.0	0.1	19.1667	7.06248e-24
40.0	0.1	20	8.10186e-24
40.0	0.1	20.8333	9.22021e-24
40.0	0.1	21.6667	1.04134e-23
40.0	0.1	22.5	1.16769e-23
40.0	0.1	23.3333	1.30012e-23
40.0	0.1	24.1667	1.43997e-23
40.0	0.1	25	1.58505e-23
40.0	0.1	25.8333	1.73639e-23
40.0	0.1	26.6667	1.89167e-23
40.0	0.1	27.5	2.05496e-23
40.0	0.1	28.3333	2.2226e-23
40.0	0.1	29.1667	2.39559e-23
40.0	0.1	30	2.57454e-23
5.0	0.1	5	4.40803e-25
5.0	0.1	5.83333	7.56616e-25
5.0	0.1	6.66667	1.50893e-24
5.0	0.1	7.5	4.20659e-24
5.0	0.1	8.33333	1.16971e-23
5.0	0.1	9.16667	2.79237e-23
5.0	0.1	10	5.78481e-23
5.0	0.1	10.8333	1.07082e-22
5.0	0.1	11.6667	1.81475e-22
5.0	0.1	12.5	2.86797e-22
5.0	0.1	13.3333	4.28464e-22
5.0	0.1	14.1667	6.11409e-22
5.0	0.1	15	8.40001e-22
5.0	0.1	15.8333	1.11805e-21
5.0	0.1	16.6667	1.44885e-21
5.0	0.1	17.5	1.83505e-21
5.0	0.1	18.3333	2.27874e-21
5.0	0.1	19.1667	2.78176e-21
5.0	0.1	20	3.34555e-21
5.0	0.1	20.8333	3.97146e-21
5.0	0.1	21.6667	4.65952e-21
5.0	0.1	22.5	5.4103e-21
5.0	0.1	23.3333	6.22437e-21
5.0	0.1	24.1667	7.1017e-21
5.0	0.1	25	8.04272e-21
5.0	0.1	25.8333	9.04503e-21
5.0	0.1	26.6667	1.01107e-20
5.0	0.1	27.5	1.12384e-20
5.0	0.1	28.3333	1.24268e-20
5.0	0.1	29.1667	1.36761e-20
5.0	0.1	30	1.49845e-20
50.0	0.1	5	4.50751e-26
50.0	0.1	5.83333	7.56695e-26
50.0	0.1	6.66667	1.20592e-25
50.0	0.1	7.5	1.86623e-25
50.0	0.1	8.33333	2.81253e-25
50.0	0.1	9.16667	4.07726e-25
50.0	0.1	10	5.72803e-25
50.0	0.1	10.8333	7.68729e-25
50.0	0.1	11.6667	1.0202e-24
50.0	0.1	12.5	1.30444e-24
50.0	0.1	13.3333	1.6439e-24
50.0	0.1	14.1667	2.03031e-24
50.0	0.1	15	2.47385e-24
50.0	0.1	15.8333	2.97815e-24
50.0	0.1	16.6667	3.54659e-24
50.0	0.1	17.5	4.17805e-24
50.0	0.1	18.3333	4.88194e-24
50.0	0.1	19.1667	5.65057e-24
50.0	0.1	20	6.48009e-24
50.0	0.1	20.8333	7.37652e-24
50.0	0.1	21.6667	8.33055e-24
50.0	0.1	22.5	9.34068e-24
50.0	0.1	23.3333	1.03982e-23
50.0	0.1	24.1667	1.15173e-23
50.0	0.1	25	1.26739e-23
50.0	0.1	25.8333	1.38855e-23
50.0	0.1	26.6667	1.51244e-23
50.0	0.1	27.5	1.64253e-23
50.0	0.1	28.3333	1.77612e-23
50.0	0.1	29.1667	1.91321e-23
50.0	0.1	30	2.05421e-23
10.0	1.0	5	7.19534e-26
10.0	1.0	5.83333	1.25396e-25
10.0	1.0	6.66667	2.79513e-25
10.0	1.0	7.5	1.13395e-24
10.0	1.0	8.33333	4.14618e-24
10.0	1.0	9.16667	1.19111e-23
10.0	1.0	10	2.83108e-23
10.0	1.0	10.8333	5.8338e-23
10.0	1.0	11.6667	1.07778e-22
10.0	1.0	12.5	1.82828e-22
10.0	1.0	13.3333	2.89753e-22
10.0	1.0	14.1667	4.34626e-22
10.0	1.0	15	6.23117e-22
10.0	1.0	15.8333	8.60492e-22
10.0	1.0	16.6667	1.15121e-21
10.0	1.0	17.5	1.4995e-21
10.0	1.0	18.3333	1.9089e-21
10.0	1.0	19.1667	2.38207e-21
10.0	1.0	20	2.92184e-21
10.0	1.0	20.8333	3.52993e-21
10.0	1.0	21.6667	4.20811e-21
10.0	1.0	22.5	4.95704e-21
10.0	1.0	23.3333	5.77846e-21
10.0	1.0	24.1667	6.67313e-21
10.0	1.0	25	7.64041e-21
10.0	1.0	25.8333	8.68141e-21
10.0	1.0	26.6667	9.79615e-21
10.0	1.0	27.5	1.09837e-20
10.0	1.0	28.3333	1.22454e-20
10.0	1.0	29.1667	1.35802e-20
10.0	1.0	30	1.49856e-20
100.0	1.0	5	8.00562e-27
100.0	1.0	5.83333	1.37327e-26
100.0	1.0	6.66667	2.19179e-26
100.0	1.0	7.5	3.31012e-26
100.0	1.0	8.33333	4.78404e-26
100.0	1.0	9.16667	6.60631e-26
100.0	1.0	10	9.05435e-26
100.0	1.0	10.8333	1.19502e-25
100.0	1.0	11.6667	1.55194e-25
100.0	1.0	12.5	1.9794e-25
100.0	1.0	13.3333	2.45311e-25
100.0	1.0	14.1667	3.04333e-25
100.0	1.0	15	3.74527e-25
100.0	1.0	15.8333	4.49195e-25
100.0	1.0	16.6667	5.4202e-25
100.0	1.0	17.5	6.43479e-25
100.0	1.0	18.3333	7.58605e-25
100.0	1.0	19.1667	8.84647e-25
100.0	1.0	20	1.02692e-24
100.0	1.0	20.8333	1.18787e-24
100.0	1.0	21.6667	1.35471e-24
100.0	1.0	22.5	1.54864e-24
100.0	1.0	23.3333	1.75468e-24
100.0	1.0	24.1667	1.98264e-24
100.0	1.0	25	2.21945e-24
100.0	1.0	25.8333	2.48085e-24
100.0	1.0	26.6667	2.74845e-24
100.0	1.0	27.5	2.55449e-24
100.0	1.0	28.3333	3.38885e-24
100.0	1.0	29.1667	3.73862e-24
100.0	1.0	30	4.1167e-24
20.0	1.0	5	3.77292e-26
20.0	1.0	5.83333	6.4772e-26
20.0	1.0	6.66667	1.03469e-25
20.0	1.0	7.5	1.56436e-25
20.0	1.0	8.33333	2.2651e-25
20.0	1.0	9.16667	3.17236e-25
20.0	1.0	10	4.395e-25
20.0	1.0	10.8333	6.55692e-25
20.0	1.0	11.6667	1.20094e-24
20.0	1.0	12.5	2.53865e-24
20.0	1.0	13.3333	5.3162e-24
20.0	1.0	14.1667	1.04151e-23
20.0	1.0	15	1.89829e-23
20.0	1.0	15.8333	3.24238e-23
20.0	1.0	16.6667	5.24198e-23
20.0	1.0	17.5	8.08126e-23
20.0	1.0	18.3333	1.19647e-22
20.0	1.0	19.1667	1.71039e-22
20.0	1.0	20	2.37239e-22
20.0	1.0	20.8333	3.20387e-22
20.0	1.0	21.6667	4.22852e-22
20.0	1.0	22.5	5.46774e-22
20.0	1.0	23.3333	6.94358e-22
20.0	1.0	24.1667	8.67599e-22
20.0	1.0	25	1.06851e-21
20.0	1.0	25.8333	1.29898e-21
20.0	1.0	26.6667	1.56073e-21
20.0	1.0	27.5	1.85547e-21
20.0	1.0	28.3333	2.18479e-21
20.0	1.0	29.1667	2.55024e-21
20.0	1.0	30	2.9525e-21
30.0	1.0	5	2.57087e-26
30.0	1.0	5.83333	4.41143e-26
