r0[m]	uref[m/s]	Noise[Hz^-1/2]
20.0	100.0	0.184785	5.03561e-24
20.0	100.0	0.215443	5.64536e-24
20.0	100.0	0.251189	6.33871e-24
20.0	100.0	0.292864	7.12334e-24
20.0	100.0	0.341455	8.02988e-24
20.0	100.0	0.398107	9.05384e-24
20.0	100.0	0.464159	1.02588e-23
20.0	100.0	0.54117	1.16328e-23
20.0	100.0	0.630957	1.32321e-23
20.0	100.0	0.735642	1.5133e-23
20.0	100.0	0.857696	1.73647e-23
20.0	100.0	1	2.00365e-23
20.0	20.0	0.01	4.29036e-24
20.0	20.0	0.0116591	4.63739e-24
20.0	20.0	0.0135936	5.01929e-24
20.0	20.0	0.0158489	5.4415e-24
20.0	20.0	0.0184785	5.90792e-24
20.0	20.0	0.0215443	6.43144e-24
20.0	20.0	0.0251189	7.00945e-24
20.0	20.0	0.0292864	7.66443e-24
20.0	20.0	0.0341455	8.39462e-24
20.0	20.0	0.0398107	9.21313e-24
20.0	20.0	0.0464159	1.01447e-23
20.0	20.0	0.054117	1.11943e-23
20.0	20.0	0.0630957	1.2388e-23
20.0	20.0	0.0735642	1.37496e-23
20.0	20.0	0.0857696	1.53006e-23
20.0	20.0	0.1	1.70822e-23
20.0	20.0	0.116591	1.91508e-23
20.0	20.0	0.135936	2.1547e-23
20.0	20.0	0.158489	2.43428e-23
20.0	20.0	0.184785	2.76342e-23
20.0	20.0	0.215443	3.1583e-23
20.0	20.0	0.251189	3.63569e-23
20.0	20.0	0.292864	4.22062e-23
20.0	20.0	0.341455	4.95975e-23
20.0	20.0	0.398107	5.90446e-23
20.0	20.0	0.464159	7.14574e-23
20.0	20.0	0.54117	8.81232e-23
20.0	20.0	0.630957	1.11103e-22
20.0	20.0	0.735642	1.43381e-22
20.0	20.0	0.857696	1.89619e-22
20.0	20.0	1	2.57146e-22
20.0	30.0	0.01	2.77317e-24
20.0	30.0	0.0116591	2.99845e-24
20.0	30.0	0.0135936	3.24607e-24
20.0	30.0	0.0158489	3.5193e-24
20.0	30.0	0.0184785	3.82089e-24
20.0	30.0	0.0215443	4.15849e-24
20.0	30.0	0.0251189	4.53173e-24
20.0	30.0	0.0292864	4.95083e-24
20.0	30.0	0.0341455	5.41851e-24
20.0	30.0	0.0398107	5.94177e-24
20.0	30.0	0.0464159	6.53078e-24
20.0	30.0	0.054117	7.19253e-24
20.0	30.0	0.0630957	7.93869e-24
20.0	30.0	0.0735642	8.7809e-24
20.0	30.0	0.0857696	9.73141e-24
20.0	30.0	0.1	1.08036e-23
20.0	30.0	0.116591	1.20251e-23
20.0	30.0	0.135936	1.34049e-23
